experiment,condition,system,loss_rate,rtt_ms,loss_schedule,trials,trials_aggregated,integrity_failures,goodput_kib_per_s_mean,goodput_kib_per_s_sd,completion_time_s_mean,completion_time_s_sd,retransmission_count_mean,retransmission_count_sd,retransmission_overhead_mean,retransmission_overhead_sd,switch_count_mean,switch_count_sd,sr_residence_fraction_mean,sr_residence_fraction_sd
E7,rtt050,sr,0.05,50.0,,5,5,0,64.1536289661653,4.5126167091415175,16.0223758,1.0793668183470806,52.2,11.476062042355817,0.04841760444531624,0.010127582659586336,0.0,0.0,1.0,0.0
E7,rtt050,hybrid,0.05,50.0,,5,5,0,60.482887213481675,5.262987878045887,17.029929999999997,1.4329029044668378,100.2,26.147657638878478,0.08873387342778347,0.021294330713396353,1.4,0.8944271909999161,0.805513333292317,0.05673178738681531
E7,rtt100,gbn,0.05,100.0,,5,5,0,24.72099403467559,2.61399407499205,41.801634199999995,4.498772513259612,436.2,69.97285187842496,0.2974456471335084,0.03342447987351475,0.0,0.0,0.0,0.0
E7,rtt100,sr,0.05,100.0,,5,5,0,32.26790185789758,1.6117227165614467,31.7980054,1.5946518301730637,57.2,8.526429498916883,0.05285703146389682,0.007473513407651892,0.0,0.0,1.0,0.0
E7,rtt100,hybrid,0.05,100.0,,5,5,0,30.93389461054482,1.4141848487734172,33.1580736,1.510846004430067,86.8,15.642889758609181,0.07799468596490466,0.013065930879302863,1.4,0.8944271909999159,0.8621741641962026,0.04398416607737749
E7,rtt500,gbn,0.05,500.0,,5,5,0,5.843210331402452,0.39939175138631383,175.9351432,12.61292159402835,383.2,46.337889464238664,0.271696220755491,0.02344949570633307,0.0,0.0,0.0,0.0
E7,rtt500,sr,0.05,500.0,,5,5,0,7.426540454758549,0.3503844409370507,138.1266314,6.436307378840045,47.6,5.412947441089743,0.04440005534691484,0.004826574859698352,0.0,0.0,1.0,0.0
E7,rtt500,hybrid,0.05,500.0,,5,5,0,7.097199180029063,0.18735219253137375,144.3627406,3.8107860837471987,88.6,12.759310326189265,0.07953651049274436,0.010549318254013817,1.8,1.0954451150103324,0.8371566500595975,0.061308321221754676
E8,loss_rise,hybrid,0.0,100.0,8:0.1,5,5,0,31.883394931007064,1.6067105055799988,32.183958000000004,1.6607084865862223,125.2,31.491268631161876,0.1084142251909539,0.02423394143267553,1.0,0.0,0.5732062704314764,0.043235234164936034
E8,loss_fall,hybrid,0.1,100.0,20:0,5,5,0,34.9485494368849,0.8365611979610259,29.313317,0.6842770526661693,99.4,15.646085772486357,0.08834193556607126,0.012517093221322124,2.0,0.0,0.5797960845707019,0.0592929681363851
E8,loss_change,hybrid,0.02,100.0,"8:0.12,20:0.01,32:0.15,44:0.02",5,5,0,34.52616079946509,0.9178170112450708,29.6753984,0.7866870183003535,103.0,17.98610574860495,0.09121057493186369,0.014295375222630795,4.0,1.5811388300841898,0.6421945859861969,0.06998909304269403
