stage,system,switch_high,switch_low,hysteresis_count,loss_rate,rtt_ms,trials,integrity_failures,goodput_mean,goodput_stdev,completion_mean_s,retransmissions_mean,overhead_mean,switches_mean,gbn_residence_mean_s,sr_residence_mean_s
entry,hybrid,0.05,0.02,3,0.2,0.0,3,0,25905.685363949935,5063.702073931992,10.410017666666667,174.66666666666666,0.40290925293339336,1.0,4.0161066666666665,6.392716666666668
entry,hybrid,0.1,0.02,1,0.0,0.0,3,0,7160415.202057236,3512147.408037723,0.043194,0.0,0.0,0.0,0.041738666666666674,0.0
entry,hybrid,0.1,0.02,1,0.01,0.0,3,0,384246.1300090324,1428.7170124622353,0.6822356666666667,21.666666666666668,0.0778998778998779,0.0,0.6805013333333333,0.0
entry,hybrid,0.1,0.02,1,0.02,0.0,3,0,340175.4014011771,170880.12844222115,0.9035036666666666,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8254216666666667,0.07567999999999997
entry,hybrid,0.1,0.02,1,0.05,0.0,3,0,94284.99005132834,15636.45610521362,2.8282973333333334,51.333333333333336,0.16702624194480872,1.0,1.1990646666666667,1.627944
entry,hybrid,0.1,0.02,1,0.1,0.0,3,0,68082.70376924262,5424.334442901624,3.867118666666667,69.0,0.21206672511020339,1.0,1.3494213333333331,2.5156856666666667
entry,hybrid,0.1,0.02,1,0.2,0.0,3,0,34298.56744886761,1442.0343156219144,7.6518506666666655,108.33333333333333,0.29663392932090993,1.0,1.664925,5.985223666666666
entry,hybrid,0.1,0.02,2,0.0,0.0,3,0,7059881.434552886,2590314.493806375,0.04012266666666667,0.0,0.0,0.0,0.03850566666666667,0.0
entry,hybrid,0.1,0.02,2,0.01,0.0,3,0,378134.5392862575,6835.65395938085,0.6934056666666667,21.666666666666668,0.0778998778998779,0.0,0.6921566666666666,0.0
entry,hybrid,0.1,0.02,2,0.02,0.0,3,0,344499.8420675835,175938.57172762055,0.90071,29.666666666666668,0.10266059285667128,0.3333333333333333,0.821651,0.07739699999999994
entry,hybrid,0.1,0.02,2,0.05,0.0,3,0,89680.98480219574,20504.510453201332,3.0192953333333334,64.66666666666667,0.20132975322848742,1.0,1.552161,1.4655046666666667
entry,hybrid,0.1,0.02,2,0.1,0.0,3,0,54232.584353008824,14455.742873139116,5.0668766666666665,86.66666666666667,0.2526900590902453,1.0,2.702386,2.362515333333333
entry,hybrid,0.1,0.02,2,0.2,0.0,3,0,28505.547906922493,6271.260918961399,9.467302666666667,135.33333333333334,0.34471819727680053,1.0,2.8298373333333333,6.635576666666666
entry,hybrid,0.1,0.02,3,0.0,0.0,3,0,6927494.066016416,4027484.1060014036,0.045606,0.0,0.0,0.0,0.043611000000000004,0.0
entry,hybrid,0.1,0.02,3,0.01,0.0,3,0,381715.86773332185,9115.00882295345,0.6870106666666667,21.666666666666668,0.0778998778998779,0.0,0.6853453333333333,0.0
entry,hybrid,0.1,0.02,3,0.02,0.0,3,0,359389.0579913412,196800.44051047188,0.8809593333333333,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8045846666666666,0.0752996666666667
entry,hybrid,0.1,0.02,3,0.05,0.0,3,0,87213.719362839,21767.172709577284,3.1196406666666667,67.0,0.20670097284303046,1.0,1.6468216666666666,1.4710403333333335
entry,hybrid,0.1,0.02,3,0.1,0.0,3,0,61678.620364985465,6720.614612248075,4.282405333333333,102.66666666666667,0.2852342040498679,1.0,2.322353,1.9583209999999998
entry,hybrid,0.1,0.02,3,0.2,0.0,3,0,25937.91417043647,5136.09294119606,10.405799,174.66666666666666,0.40290925293339336,1.0,4.010059333333333,6.394077666666667
entry,hybrid,0.2,0.02,1,0.0,0.0,3,0,5757845.5382456705,369308.44561389793,0.045653,0.0,0.0,0.0,0.04413166666666666,0.0
entry,hybrid,0.2,0.02,1,0.01,0.0,3,0,382998.46428008325,18711.23532487594,0.6855686666666667,21.666666666666668,0.0778998778998779,0.0,0.6839553333333334,0.0
entry,hybrid,0.2,0.02,1,0.02,0.0,3,0,346676.408218815,194951.5216931413,0.915005,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8357256666666667,0.07820633333333331
entry,hybrid,0.2,0.02,1,0.05,0.0,3,0,93692.72450991154,14879.125647830326,2.8425146666666663,54.333333333333336,0.17494278835143884,1.0,1.2260183333333332,1.614873
entry,hybrid,0.2,0.02,1,0.1,0.0,3,0,68297.0550639392,6064.062756379628,3.858907,69.0,0.21206672511020339,1.0,1.3420966666666667,2.5151393333333334
entry,hybrid,0.2,0.02,1,0.2,0.0,3,0,34441.54514379969,1392.429437662257,7.619459,108.33333333333333,0.29663392932090993,1.0,1.6537700000000004,5.9632336666666665
entry,hybrid,0.2,0.02,2,0.0,0.0,3,0,4919095.459277917,672196.6266426819,0.053929666666666674,0.0,0.0,0.0,0.052126000000000006,0.0
